year,university,school,degree,employment_rate,gross_mean,gross_median,gross_25_percentile,gross_75_percentile
2009,NUS,Faculty of Science,Bachelor of Applied Science,76.9,2393,2500,2250,2500
2009,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",61.7,2431,2300,2100,2800
2009,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),97.1,2448,2400,2400,2500
2009,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts,75.9,2511,2500,2200,2600
2009,NUS,Faculty of Science,Bachelor of Science,76.5,2525,2500,2300,2600
2009,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours programme),90,2529,2400,2400,2500
2009,NUS,School of Computing,Bachelor of Communication and Media,70.8,2536,2650,2000,3000
2009,NTU,"College of Humanities, Arts and Social Sciences",Communication Studies,78.2,2562,2600,2100,2900
2009,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),100,2568,2550,2500,2700
2009,NTU,"College of Humanities, Arts and Social Sciences",English Literature,83.3,2580,2750,2300,2850
2009,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),72,2613,2500,2275,2850
2009,NTU,College of Engineering,Maritime Studies,89.5,2624,2500,2350,2900
2009,NTU,"College of Humanities, Arts and Social Sciences",Psychology,81.1,2629,2700,2250,3000
2009,NUS,Faculty of Engineering,Bachelor of Environmental Engineering,63.2,2667,2650,2350,3000
2009,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,73.3,2673,2850,2350,2950
2009,NUS,Faculty of Science,Bachelor of Applied Science (Hons),94.7,2674,2600,2400,3000
2009,NUS,NUS Business School,Bachelor of Business Administration (3-yr programme),84.5,2677,2500,2200,2700
2009,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),80.3,2689,2750,2500,2900
2009,NTU,"College of Humanities, Arts and Social Sciences",Economics,88.7,2718,2700,2450,2950
2009,NTU,College of Engineering,Materials Engineering,75.3,2745,2800,2500,3000
2009,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours programme),88.3,2754,2700,2300,3050
2009,NTU,"College of Humanities, Arts and Social Sciences",Chinese,98,2756,2800,2600,2900
2009,NTU,College of Engineering,Civil Engineering,90.8,2769,2800,2500,3000
2009,NUS,School of Computing,Bachelor of E.Commerce,82.5,2774,2700,2450,3000
2009,NTU,College of Engineering,Environmental Engineering,76.3,2777,2600,2500,2900
2009,NTU,College of Engineering,Mechanical Engineering,79.1,2794,2800,2500,3100
2009,NUS,Faculty of Engineering,Bachelor of Civil Engineering,92.9,2801,2800,2550,3000
2009,NTU,College of Sciences,Mathematical Science,88.5,2817,2800,2500,3000
2009,NUS,School of Design and Environment,Bachelor of Real Estate,87.9,2831,2600,2400,3000
2009,NUS,School of Computing,Bachelor of Computing,76.9,2841,2800,2500,3000
2009,NTU,"College of Humanities, Arts and Social Sciences",Sociology,86.7,2842,2900,2700,3000
2009,NUS,Faculty of Arts and Social Sciences,Bachelor of Social Sciences (Hons),81.2,2845,2750,2500,3150
2009,NTU,College of Engineering,Bioengineering,82.3,2854,2800,2500,3100
2009,NUS,Faculty of Engineering,Bachelor of Material Science and Engineering,93.8,2880,2900,2500,3000
2009,NUS,School of Computing,Bachelor of Computer Engineering,95.7,2890,2800,2500,3300
2009,NTU,College of Sciences,Physics / Applied Physics,77.8,2900,2950,2600,3000
2009,NUS,Faculty of Engineering,Bachelor of Bioengineering,83.8,2903,2900,2500,3100
2009,NTU,College of Engineering,Electrical and Electronic Engineering,84.1,2909,2900,2600,3150
2009,NUS,Faculty of Engineering,Bachelor of Electrical Engineering,89.7,2912,2900,2500,3150
2009,NTU,College of Sciences,Biological Sciences,85,2918,2800,2500,3300
2009,NUS,School of Computing,Bachelor of Information Systems,91.1,2918,2975,2600,3250
2009,NTU,College of Engineering,Computer Science,94.3,2930,2900,2600,3250
2009,NUS,Faculty of Science,Bachelor of Science (Hons),81.4,2932,2900,2500,3200
2009,NTU,College of Sciences,Chemistry and Biological Chemistry,82.4,2941,2900,2600,3300
2009,NUS,Faculty of Engineering,Bachelor of Mechanical Engineering,85.4,2966,2900,2600,3200
2009,NTU,College of Engineering,Computer Engineering,89.3,2969,2900,2700,3200
2009,NUS,School of Computing,Bachelor of Computer Science,89.1,2970,2900,2700,3290
2009,NUS,Faculty of Engineering,Bachelor of Chemical Engineering,84.5,2989,3000,2500,3500
2009,NTU,College of Engineering,Chemical And Biomolecular Engineering,78.6,2990,3000,2650,3300
2009,NTU,National Institute of Education (NIE),Science (with Education),100,3030,2900,2900,3200
2009,SMU,School of Business (4-year programme),Business Management (4-year programme),82.8,3048,2800,2400,3325
2009,NTU,College of Engineering,Aerospace Engineering,80.3,3066,3000,2750,3250
2009,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme),95.3,3073,2500,2400,2950
2009,NUS,Faculty of Engineering,Bachelor of Industrial and Systems Engineering,92.5,3099,3000,2650,3450
2009,NUS,Faculty of Engineering,Bachelor of Computer Engineering,87.8,3103,2900,2700,3440
2009,NTU,National Institute of Education (NIE),Arts (with Education),100,3109,3000,2900,3200
2009,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,3176,3000,3000,3400
2009,SMU,School of Economics (4-year programme),Economics (4-year programme),88.9,3288,3000,2500,3763
2009,SMU,School of Business (4-year programme),Business Management (4-year programme) Cum Laude and above,86.7,3336,3000,2500,3500
2009,NUS,NUS Business School,Bachelor of Business Administration (Hons),92.1,3389,3000,2600,3600
2009,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme),85.9,3445,2750,2400,3850
2009,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme) Cum Laude and above,96.8,3586,2600,2400,4000
2009,SMU,School of Economics (4-year programme),Economics (4-year programme) Cum Laude and above,92.6,3606,3200,2800,4000
2009,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme) Cum Laude and above,72.2,3754,4000,2800,4600
2010,NUS,Faculty of Science,Bachelor of Applied Science,62.5,2427,2400,2200,2800
2010,NUS,Faculty of Engineering,Bachelor of Engineering Science,75,2571,2750,2500,3000
2010,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",60.4,2600,2600,2000,3150
2010,NTU,"College of Humanities, Arts and Social Sciences",English Literature,72.5,2603,2700,2250,3050
2010,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts,73.7,2627,2550,2300,2900
2010,NUS,Faculty of Science,Bachelor of Science,71.4,2653,2500,2400,2900
2010,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),93.9,2655,2600,2550,2800
2010,NUS,School of Design and Environment,Bachelor of Project and Facilities Management,89,2657,2500,2425,2800
2010,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),85.7,2692,2600,2600,2600
2010,NUS,Faculty of Engineering,Bachelor of Civil Engineering,93.5,2757,2700,2600,2800
2010,NUS,School of Design and Environment,Bachelor of Real Estate,88.5,2762,2650,2400,3000
2010,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours programme),97,2778,2600,2600,2775
2010,NUS,Faculty of Engineering,Bachelor of Bioengineering,75.6,2804,2700,2500,3000
2010,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),90.5,2824,2675,2400,3200
2010,NTU,"College of Humanities, Arts and Social Sciences",Communication Studies,81.7,2836,2750,2400,3200
2010,NTU,College of Engineering,Maritime Studies,92,2857,2750,2500,3125
2010,NTU,College of Sciences,Physics / Applied Physics,73.7,2862,3000,2500,3250
2010,NUS,Faculty of Engineering,Bachelor of Environmental Engineering,82.6,2895,2800,2700,3200
2010,NTU,College of Engineering,Civil Engineering,95.2,2911,2900,2700,3100
2010,NTU,"College of Humanities, Arts and Social Sciences",Psychology,81.7,2932,3100,2600,3300
2010,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours programme),86.3,2933,2800,2500,3200
2010,NUS,School of Computing,Bachelor of Computing,88.9,2935,2880,2750,3200
2010,NUS,Faculty of Science,Bachelor of Applied Science (Hons),89.5,2944,3000,2800,3100
2010,NTU,"College of Humanities, Arts and Social Sciences",Sociology,76.7,2950,3100,2575,3200
2010,NTU,College of Sciences,Biomedical Sciences,100,2950,2800,2575,3175
2010,NTU,College of Sciences,Biological Sciences,76.3,2952,2800,2600,3200
2010,NTU,College of Sciences,Chemistry and Biological Chemistry,74.8,2981,3000,2600,3300
2010,NTU,College of Engineering,Environmental Engineering,76.4,2982,3000,2600,3200
2010,NUS,School of Computing,Bachelor of Communication and Media,90,2993,2800,2550,3494
2010,NTU,"College of Humanities, Arts and Social Sciences",Economics,84.6,2995,3000,2800,3200
2010,NUS,NUS Business School,Bachelor of Business Administration (3-yr programme),80.9,3008,2650,2400,3000
2010,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),76,3021,3000,2725,3200
2010,NTU,College of Sciences,Mathematical Science,81.8,3022,2800,2600,3100
2010,NUS,School of Computing,Bachelor of E.Commerce,87.5,3049,3000,2700,3500
2010,NUS,Faculty of Science,Bachelor of Science (Hons),77.2,3049,3000,2600,3300
2010,NUS,Faculty of Arts and Social Sciences,Bachelor of Social Sciences (Hons),80.9,3062,3000,2600,3335
2010,NTU,College of Engineering,Mechanical Engineering,88.6,3064,3000,2700,3400
2010,NUS,Faculty of Engineering,Bachelor of Mechanical Engineering,85.2,3067,3000,2700,3200
2010,NTU,College of Engineering,Materials Engineering,82.2,3079,3000,2700,3300
2010,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),100,3081,2600,2600,3375
2010,NUS,Faculty of Engineering,Bachelor of Material Science and Engineering,77.4,3107,3000,2800,3200
2010,NTU,College of Engineering,Electrical and Electronic Engineering,84.7,3110,3000,2800,3400
2010,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,3116,3000,3000,3400
2010,NTU,"College of Humanities, Arts and Social Sciences",Chinese,81,3118,3100,2650,3400
2010,NUS,Faculty of Engineering,Bachelor of Computer Engineering,91.8,3140,3000,2800,3500
2010,NTU,College of Sciences,Mathematics and Economics,85.7,3147,3200,2700,3450
2010,NTU,College of Engineering,Bioengineering,80,3160,3000,2600,3800
2010,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme),97.9,3162,2650,2600,3500
2010,NUS,School of Computing,Bachelor of Computer Engineering,87.2,3163,3000,2700,3700
2010,NTU,College of Engineering,Chemical And Biomolecular Engineering,91,3182,3200,2800,3525
2010,NTU,National Institute of Education (NIE),Science (with Education),100,3199,3200,3100,3300
2010,NUS,NUS Business School,Bachelor of Business Administration (Hons),89.6,3232,3100,2600,3600
2010,NUS,Faculty of Engineering,Bachelor of Electrical Engineering,88.5,3235,3000,2800,3500
2010,NUS,Faculty of Engineering,Bachelor of Chemical Engineering,82.9,3259,3100,2850,3500
2010,NTU,College of Engineering,Computer Engineering,90.8,3272,3100,2850,3600
2010,NTU,National Institute of Education (NIE),Arts (with Education),100,3281,3200,3100,3400
2010,NUS,School of Computing,Bachelor of Computer Science,92.9,3289,3000,2800,3400
2010,SMU,School of Business (4-year programme),Business Management (4-year programme),90.7,3292,3000,2550,3500
2010,NUS,Faculty of Science,Bachelor of Pharmacy,92.3,3298,3200,3100,3300
2010,NTU,College of Engineering,Aerospace Engineering,95.9,3344,3200,2750,3800
2010,NUS,Faculty of Engineering,Bachelor of Industrial and Systems Engineering,90.4,3357,3000,2800,3750
2010,NUS,School of Computing,Bachelor of Information Systems,90,3384,3200,2900,3700
2010,NTU,College of Engineering,Computer Science,91.8,3385,3200,2800,3700
2010,SMU,School of Economics (4-year programme),Economics (4-year programme),90.2,3429,3100,2650,3700
2010,NUS,School of Design and Environment,Bachelor of Architecture,97.7,3445,3500,3100,3700
2010,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme),93,3474,3100,2650,4000
2010,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,93.3,3479,3250,3200,3875
2010,SMU,School of Economics (4-year programme),Economics (4-year programme) Cum Laude and above,95,3579,3300,2800,3700
2010,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme) Cum Laude and above,95.8,3625,3000,2600,3800
2010,SMU,School of Business (4-year programme),Business Management (4-year programme) Cum Laude and above,94.1,3750,3400,2800,4000
2010,NUS,Yong Loo Lin School of Medicine,Bachelor of Medicine and Bachelor of Surgery,100,3852,3700,3600,4000
2010,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme) Cum Laude and above,95,4547,4350,3500,4950
2010,NUS,Faculty of Law,Bachelor of Laws,100,4770,5000,4250,5000
2011,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",55.8,2563,2500,2350,3000
2011,NUS,Faculty of Science,Bachelor of Applied Science,70.6,2647,2500,2400,2800
2011,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),95.6,2718,2750,2550,2800
2011,NUS,Faculty of Science,Bachelor of Science,67.2,2741,2600,2500,2900
2011,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),95.5,2759,2700,2700,2800
2011,NUS,School of Design and Environment,Bachelor of Science (Project and Facilities Management),96.7,2760,2770,2500,3000
2011,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts,73.8,2763,2700,2405,3000
2011,NUS,School of Design and Environment,Bachelor of Science (Real Estate),94.4,2888,2800,2500,3000
2011,NUS,Faculty of Science,Bachelor of Applied Science (Hons),90.3,2890,2800,2675,3150
2011,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours programme),96.3,2900,2700,2700,2900
2011,NTU,College of Engineering,Maritime Studies,98.1,2906,2800,2800,3000
2011,NTU,College of Sciences,Chemistry and Biological Chemistry,75.1,2956,2950,2600,3200
2011,NTU,"College of Humanities, Arts and Social Sciences",Communication Studies,80.3,2960,2900,2500,3200
2011,NTU,"College of Humanities, Arts and Social Sciences",English Literature,81.1,2976,3100,2775,3200
2011,NTU,College of Sciences,Biological Sciences,71.8,2981,3000,2600,3250
2011,NTU,College of Sciences,Physics / Applied Physics,87.9,3024,3000,2700,3300
2011,NTU,College of Engineering,Environmental Engineering,84.8,3034,3000,2800,3300
2011,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),88.5,3043,3000,2550,3500
2011,NTU,"College of Humanities, Arts and Social Sciences",Chinese,87.7,3044,3100,2775,3300
2011,NTU,College of Engineering,Materials Engineering,83.6,3047,3000,2800,3300
2011,NTU,"College of Humanities, Arts and Social Sciences",Sociology,84.5,3055,3150,2675,3403
2011,NUS,School of Computing,Bachelor of Computing (Electronic Commerce),97.2,3075,3000,2720,3500
2011,NUS,Faculty of Arts and Social Sciences,Bachelor of Social Sciences (Hons),84.9,3088,3000,2700,3350
2011,NTU,College of Engineering,Bioengineering,72.7,3094,3000,2800,3500
2011,NTU,College of Engineering,Civil Engineering,94,3115,3000,2800,3400
2011,NTU,"College of Humanities, Arts and Social Sciences",Psychology,84.4,3125,3200,2950,3450
2011,NTU,College of Sciences,Mathematical Science,82.1,3125,3100,2800,3200
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),100,3126,3000,2900,3200
2011,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,3136,3000,3000,3400
2011,NUS,Faculty of Science,Bachelor of Science (Hons),85.3,3138,3000,2800,3450
2011,NUS,NUS Business School,Bachelor of Business Administration,88.1,3141,2975,2600,3500
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),89.4,3143,3000,2800,3400
2011,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),87.3,3151,3200,2800,3500
2011,NTU,College of Engineering,Mechanical Engineering,86.8,3152,3000,2800,3385
2011,NUS,School of Computing,Bachelor of Computing (Communications and Media),81.6,3175,3000,2750,3300
2011,NTU,College of Engineering,Information Engineering and Media,90.6,3196,3200,2900,3500
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Engineering Science),78.3,3203,3170,2950,3250
2011,NTU,"College of Humanities, Arts and Social Sciences",Economics,76.9,3209,3150,2800,3500
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),88.4,3215,3000,2800,3300
2011,NTU,College of Sciences,Mathematical Sciences and Economics,91.4,3226,3200,2800,3500
2011,NTU,College of Engineering,Electrical and Electronic Engineering,87.2,3243,3100,2900,3500
2011,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours programme),87.4,3245,3000,2700,3600
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),91.7,3255,3000,2700,3500
2011,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme),96.9,3267,2900,2700,3600
2011,NTU,College of Engineering,Chemical And Biomolecular Engineering,88.4,3276,3200,3000,3500
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),83.9,3286,3184,3000,3515
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),88.4,3327,3100,2900,3600
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Bioengineering),79.5,3334,3250,2900,3800
2011,NUS,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),98.9,3346,3300,3000,3500
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),95.1,3367,3000,2900,3980
2011,SMU,School of Business (4-year programme),Business Management (4-year programme),87.3,3369,3020,2600,3800
2011,NUS,School of Computing,Bachelor of Computing (Computer Science),94,3376,3000,2875,3500
2011,NTU,National Institute of Education (NIE),Science (with Education),100,3381,3300,3300,3600
2011,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),94.4,3393,3000,2700,3500
2011,NTU,National Institute of Education (NIE),Arts (with Education),100,3407,3300,3300,3500
2011,NUS,School of Computing,Bachelor of Computing (Computer Engineering),95.5,3421,3100,2800,3682
2011,NTU,College of Engineering,Computer Science,85.1,3425,3200,2900,3500
2011,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,87.5,3450,3500,3100,3700
2011,NTU,College of Engineering,Aerospace Engineering,88.9,3489,3500,3100,3900
2011,NUS,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),91.1,3539,3500,2900,3950
2011,SMU,School of Economics (4-year programme),Economics (4-year programme),88.9,3559,3200,2800,3864
2011,NTU,College of Engineering,Computer Engineering,94,3577,3250,3000,3800
2011,SMU,School of Information Systems (4-year programme),Information Systems Management (4-year programme),94.6,3637,3215,2893,4150
2011,SMU,School of Accountancy (4-year programme),Accountancy (4-year programme) Cum Laude and above,98.6,3671,3225,2925,4125
2011,NUS,School of Design and Environment,Bachelor of Arts (Architecture),98.6,3677,3500,3200,3900
